Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Spayed or Neutered,House Trained,Special Needs,Shots Current,Date Collected,Days Available
55127111,Fluffy,adoptable,2022-03-27,GA319,Peachtree City,GA,Black Labrador Retriever,Adult,Male,Medium,False,False,False,True,2022-04-26,30
55234887,Thor,adoptable,2022-04-07,GA66,Albany,GA,Shepherd,Adult,Male,Small,True,False,False,True,2022-04-26,19
54947622,Apollo,adoptable,2022-03-12,GA477,Greensboro,GA,Pit Bull Terrier,Adult,Male,Large,True,True,False,True,2022-04-26,45
55401520,Coco Jr,adoptable,2022-04-25,GA299,Douglasville,GA,Terrier,Adult,Male,Small,False,False,False,True,2022-04-26,1
55312914,Afghan,adoptable,2022-04-15,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Male,Medium,True,False,False,False,2022-04-26,11
54050308,Chief,adoptable,2021-12-30,GA930,Covington,GA,German Shepherd Dog,Adult,Male,Large,True,True,False,True,2022-04-26,117
45287353,Midge Maisel,adoptable,2019-07-18,GA256,Clarkston,GA,Terrier,Adult,Female,Medium,True,True,False,True,2022-04-26,1013
54965128,Cheese Puff,adoptable,2022-03-13,GA217,Atlanta,GA,Pit Bull Terrier,Young,Male,Medium,True,False,False,False,2022-04-26,44
55388557,Trevor,adoptable,2022-04-24,GA461,Barnesville,GA,Pit Bull Terrier,Adult,Male,Large,True,True,False,True,2022-04-26,2
55045169,Newman- Adopted,adoptable,2022-03-20,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,False,False,False,False,2022-04-26,37
55336036,Dexter,adoptable,2022-04-18,GA997,Augusta,GA,Rottweiler,Young,Male,Large,True,True,False,True,2022-04-26,8
54959699,Coolata,adoptable,2022-03-13,GA217,Atlanta,GA,Pit Bull Terrier,Young,Male,Large,True,False,False,False,2022-04-26,44
55401216,Marley,adoptable,2022-04-25,GA217,Atlanta,GA,Labrador Retriever,Young,Female,Medium,False,False,False,False,2022-04-26,1
55178565,Avocado,adoptable,2022-04-01,GA219,Augusta,GA,Labrador Retriever,Young,Female,Large,True,False,False,False,2022-04-26,25
54421102,Zeus (Formerly Atlas),adoptable,2022-01-28,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,88
30186097,Winston,adoptable,2014-09-02,GA652,Atlanta,GA,Labrador Retriever,Adult,Male,Large,True,True,False,True,2022-04-26,2793
55394203,Dh-16C Choji,adoptable,2022-04-25,GA357,Lawrenceville,GA,Labrador Retriever,Adult,Male,Medium,True,False,False,True,2022-04-26,1
24003636,Lexi,adoptable,2012-09-01,GA652,Atlanta,GA,American Staffordshire Terrier,Adult,Female,Medium,True,True,False,True,2022-04-26,3524
55039755,Mirabel,adoptable,2022-03-19,GA217,Atlanta,GA,Cane Corso,Adult,Female,Large,True,False,False,False,2022-04-26,38
55034511,Libby,adoptable,2022-03-19,GA66,Albany,GA,Mixed Breed,Young,Female,Medium,True,False,False,True,2022-04-26,38
55034540,Jeffery,adoptable,2022-03-19,GA66,Albany,GA,Mixed Breed,Adult,Male,Medium,False,False,False,True,2022-04-26,38
55095924,Maverick,adoptable,2022-03-24,GA902,Augusta,GA,Australian Cattle Dog / Blue Heeler,Baby,Male,Medium,False,False,False,True,2022-04-26,33
54464398,Pimm,adoptable,2022-01-31,GA862,Athens,GA,Mixed Breed,Young,Male,Large,True,False,False,False,2022-04-26,85
55360281,Bean,adoptable,2022-04-21,GA926,Tyrone,GA,Labrador Retriever,Adult,Male,Small,True,False,False,True,2022-04-26,5
54711647,Boren (Run 26) ,adoptable,2022-02-22,GA733,Columbus,GA,Mixed Breed,Adult,Male,Large,True,False,False,True,2022-04-26,63
54256086,Dempsey,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,100
55326098,Rascal,adoptable,2022-04-17,GA217,Atlanta,GA,Pit Bull Terrier,Young,Male,Medium,True,False,False,False,2022-04-26,9
55214960,Nicholas Sparks,adoptable,2022-04-05,GA335,Atlanta,GA,Pit Bull Terrier,Adult,Male,Large,True,False,False,False,2022-04-26,21
54282034,Ruth,adoptable,2022-01-18,GA914,Decatur,GA,Mixed Breed,Adult,Female,Large,True,False,False,True,2022-04-26,98
54829064,Dutton,adoptable,2022-03-03,GA163,Social Circle,GA,Pit Bull Terrier,Adult,Male,Large,True,True,False,True,2022-04-26,54
55308148,Blossom,adoptable,2022-04-15,GA257,Appling,GA,Pit Bull Terrier,Young,Female,Small,False,False,False,False,2022-04-26,11
55348219,Macey,adoptable,2022-04-20,GA353,Monroe,GA,Schnoodle,Baby,Female,Medium,True,True,False,True,2022-04-26,6
54252853,Elliot,adoptable,2022-01-16,GA335,Atlanta,GA,Mixed Breed,Young,Male,Medium,True,False,False,False,2022-04-26,100
53445626,Denny 10-2641,adoptable,2021-11-02,GA926,Tyrone,GA,Pit Bull Terrier,Adult,Male,Large,True,False,False,True,2022-04-26,175
55280936,Baguette,adoptable,2022-04-12,GA1025,Waynesboro,GA,Pit Bull Terrier,Adult,Male,Medium,False,False,False,True,2022-04-26,14
53947455,Aggy,adoptable,2021-12-19,GA217,Atlanta,GA,German Shepherd Dog,Young,Female,Medium,True,False,False,False,2022-04-26,128
55079952,Domino,adoptable,2022-03-23,GA144,Conyers,GA,Jack Russell Terrier,Baby,Male,Small,False,False,False,True,2022-04-26,34
55391622,Petunia,adoptable,2022-04-24,GA217,Atlanta,GA,English Bulldog,Adult,Female,Medium,False,False,False,False,2022-04-26,2
55034531,Sammy,adoptable,2022-03-19,GA66,Albany,GA,Labrador Retriever,Adult,Male,Medium,False,False,False,True,2022-04-26,38
53058563,Dalton,adoptable,2021-09-22,GA1020,Jackson,GA,Labrador Retriever,Young,Male,Medium,True,False,False,True,2022-04-26,216
55254242,Cowgirl,adoptable,2022-04-09,GA75,Hamilton,GA,Terrier,Adult,Female,Medium,True,False,False,False,2022-04-26,17
50879043,Rufio,adoptable,2021-03-15,GA997,Augusta,GA,American Staffordshire Terrier,Adult,Male,Large,True,True,False,True,2022-04-26,407
54255511,Zamora,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Senior,Female,Large,True,False,False,False,2022-04-26,100
55311493,Colby,adoptable,2022-04-15,GA99,Macon,GA,Mixed Breed,Young,Male,Large,False,False,False,False,2022-04-26,11
55311792,Octavia,adoptable,2022-04-15,GA423,Chamblee,GA,Mixed Breed,Senior,Female,Large,False,False,False,False,2022-04-26,11
55103786,Puma,adoptable,2022-03-24,GA217,Atlanta,GA,Pit Bull Terrier,Young,Female,Medium,True,False,False,False,2022-04-26,33
55345236,Drapion,adoptable,2022-04-19,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,False,False,False,False,2022-04-26,7
