Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Coat,Spayed or Neutered,House Trained,Special Needs,Shots Current
55146850,VIOLET,adoptable,2022-03-29T19:48:58+0000,GA217,Atlanta,GA,Pit Bull Terrier,Young,Female,Medium,,True,False,False,False
53094591,Kirby,adoptable,2021-09-26T13:10:19+0000,GA945,Chamblee,GA,Retriever,Young,Male,Large,Short,True,True,False,True
54982213,Dh 11 Hoops Hw++,adoptable,2022-03-15T13:30:48+0000,GA357,Lawrenceville,GA,Pit Bull Terrier,Adult,Male,Medium,,True,False,False,True
51856417,Ryver,adoptable,2022-04-24T18:43:40+0000,GA619,Newnan,GA,Labrador Retriever,Adult,Female,Medium,Medium,True,False,False,True
55137143,Gumbo,adoptable,2022-03-28T22:01:56+0000,GA1025,Waynesboro,GA,Mixed Breed,Baby,Female,Small,,False,False,False,True
54814322,SCRIPT,adoptable,2022-03-02T16:35:59+0000,GA217,Atlanta,GA,Pit Bull Terrier,Young,Male,Medium,,True,False,False,False
55229321,RICHARD,adoptable,2022-04-06T18:58:59+0000,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Male,Large,,True,False,False,False
55281307,Pen 155c Abby,adoptable,2022-04-12T16:30:57+0000,GA357,Lawrenceville,GA,Shepherd,Adult,Female,Medium,,True,False,False,True
55091347,Andy,adoptable,2022-03-24T00:28:40+0000,GA1020,Jackson,GA,American Staffordshire Terrier,Baby,Male,Medium,,True,False,False,True
54255575,Lakota,adoptable,2022-01-16T22:06:37+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,True,False,False,False
54309084,Tank,adoptable,2022-01-20T19:50:59+0000,GA508,Atlanta,GA,Staffordshire Bull Terrier,Adult,Male,Medium,,True,True,False,True
54901903,Rex,adoptable,2022-03-08T17:39:42+0000,GA827,Stockbridge,GA,Husky,Adult,Male,Large,Medium,True,True,False,True
54255708,Glamourous,adoptable,2022-01-16T22:06:38+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,False,False,False,False
55398954,Koa 04-2553,adoptable,2022-04-25T19:25:18+0000,GA926,Tyrone,GA,American Staffordshire Terrier,Adult,Female,Medium,,False,False,False,True
54256062,Midnight- IN FOSTER,adoptable,2022-01-16T22:06:40+0000,GA423,Chamblee,GA,Mixed Breed,Senior,Female,Large,,True,False,False,False
54255558,Dusty,adoptable,2022-01-16T22:06:37+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
55397577,Sd-12,adoptable,2022-04-25T17:46:19+0000,GA357,Lawrenceville,GA,Pit Bull Terrier,Adult,Male,Large,,False,False,False,True
55160383,Lincoln,adoptable,2022-03-30T23:06:19+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
54255917,Dewy - IN FOSTER,adoptable,2022-01-16T22:06:39+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
54393840,Gadget,adoptable,2022-01-26T22:06:26+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
54992404,Homie,adoptable,2022-03-16T00:06:17+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,,True,False,False,False
54280237,EZRA,adoptable,2022-01-18T19:55:20+0000,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Female,Medium,,True,False,False,False
55226982,Pen 106 Lloyd,adoptable,2022-04-06T16:45:40+0000,GA357,Lawrenceville,GA,Pit Bull Terrier,Adult,Male,Large,,True,False,False,True
55069160,CONNELL,adoptable,2022-03-22T17:44:38+0000,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Male,Large,,False,False,False,False
55208376,Mako,adoptable,2022-04-05T00:06:13+0000,GA335,Atlanta,GA,Mixed Breed,Young,Male,Large,,True,False,False,False
49988689,Nala,adoptable,2020-12-08T10:05:27+0000,GA535,Dunwoody,GA,Boxer,Adult,Female,Large,,True,True,False,True
54711726,Mabel (run 20),adoptable,2022-02-22T18:46:38+0000,GA733,Columbus,GA,Mixed Breed,Adult,Female,Medium,,True,False,False,True
55366006,Finnegan 04-2148,adoptable,2022-04-21T20:25:13+0000,GA926,Tyrone,GA,Chow Chow,Baby,Female,Small,,False,False,False,True
55294742,Tango 04-1324,adoptable,2022-04-13T21:25:16+0000,GA926,Tyrone,GA,Dachshund,Young,Male,Small,,False,False,False,True
55330054,Precious,adoptable,2022-04-18T15:32:49+0000,GA1020,Jackson,GA,American Bulldog,Adult,Female,Medium,,False,False,False,False
54925773,Cher,adoptable,2022-03-10T15:35:37+0000,GA152,Washington,GA,Shepherd,Adult,Female,Large,Short,False,False,False,True
54256005,Rocky - IN FOSTER,adoptable,2022-01-16T22:06:40+0000,GA423,Chamblee,GA,Mixed Breed,Senior,Male,Large,,True,False,False,False
55206468,Brownie,adoptable,2022-04-04T20:25:23+0000,GA718,Columbus,GA,English Pointer,Adult,Male,Medium,,True,False,False,True
55138894,RAMBO,adoptable,2022-03-29T01:45:07+0000,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Male,Medium,,False,False,False,False
43939244,Darwin,adoptable,2019-02-05T01:02:16+0000,GA914,Decatur,GA,Retriever,Senior,Male,Extra Large,Medium,True,False,True,True
54253048,Rocko (in foster),adoptable,2022-01-16T22:06:15+0000,GA335,Atlanta,GA,Mixed Breed,Senior,Male,Large,,True,False,False,False
